Date and Time	Time stamp	Total time (days)	Total test time (days)	Position	Tasks	CellUnit	Cycle - actual	Cycle - normalized	Cycle - total	Cycle - total - normalized	Cycle length (h)	Current_dch (C)	Current_dch std dev (C)	Current_dch_end (C)	Current_cha (C)	Current_cha std dev (C)	Current_cha_end (C)	Temp avg (°C)	Temp std dev (°C)	Temp dch start (°C)	Temp dch avg (°C)	Temp dch max (°C)	Temp dch std dev (°C)	Temp cha start (°C)	Temp cha avg (°C)	Temp cha max (°C)	Temp cha std dev (°C)	Voltage EoD (V)	Voltage EoC (V)	Voltage EoD ocv (V)	Voltage EoC ocv (V)	Voltage charge avg (V)	Voltage discharge avg (V)	Ah_dch (Ah)	Ah_cha (Ah)	Ah_dch (nominal) (%)	Ah_dch (C20 first) (%)	Ah_cha (nominal) (%)	Ah_cha (C20 first) (%)	CE (%)	Wh_dch (Wh)	Wh_cha (Wh)	Efficiency (%)	Ah_balance start (mAh)	Ah_balance end (mAh)	Ah_balance max (mAh)	Ah_balance min (mAh)	SoC - max (nom) (%)	SoC - min (nom) (%)	SoC - max (C20 last) (%)	SoC - min (C20 last) (%)	R_DC 0ms EoC (mOhm)	R_DC 50ms EoC (mOhm)	R_DC 0ms EoD (mOhm)	R_DC 50ms EoD (mOhm)	R_DC 0ms SoC50 dch (mOhm)	R_DC 50ms Soc50 dch (mOhm)	R_DC 0ms SoC50 cha (mOhm)	R_DC 50ms Soc50 cha (mOhm)	Shunt voltage dch (µV)	Shunt voltage cha (µV)	CE Shunt 	Ah_cha slippage (Ah)	Ah_dch slippage (Ah)	Cycle type	TestRegime	TestRegime version
28.06.2021 14:21:00	3707727660.002	0.000	0.043	21.20	16000	SK04A2C614	0	0.0000	0	0.0000	1.023	0.000	0.0000	-0.000	0.000	0.0000	-0.000	22.81	0.15	22.51	22.81	23.06	0.15	22.51	22.81	23.06	0.15	3.598938	3.598938	3.598741	3.598741	3.598612	3.598612	0.000000	0.000000	0.000	0.000000		0.000000	0.0000	0.000000	0.000000	0.0000	48717.805	48717.806	48717.806	48717.805	23.8784	23.8784	26.1259	26.1259									0.000000	0.000000	0	0.000000	0.000000	OCV	OCV generic long HP	8
28.06.2021 15:23:00	3707731380.005	0.043	0.105	21.20	16003	SK04A2C614	0	0.0000	1	0.0000	1.502				0.750	0.1280	0.050	24.65	0.76					23.07	24.72	25.52	0.76		4.198986		4.187776	3.865243			48.717800			76.122	73.874106	0.0000		189.749404	0.0000	48717.806	0.000	48717.806	0.000	100.0000	23.8784	100.0000	26.1259									0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC-CV, OCV	LG25oC charact P1a	3
28.06.2021 16:53:09	3707736789.002	0.106	0.366	21.20	16003	SK04A2C614	1	0.9566	2	0.9566	6.249	-0.750	0.0590	-0.751	0.750	0.0460	0.050	24.55	1.07	24.48	25.08	26.03	0.34	25.56	25.81	26.15	0.24	2.999989	4.197980	3.444800	4.180318	3.811100	3.688465	61.219367	61.292588	95.655	93.421610	95.770	92.942110	99.8805	225.460989	234.456157	96.1634	0.000	0.003	61219.372	-73.221	100.1144	4.3447	100.1110	7.1689	0.3121	0.4481	0.4986	0.8821	0.5064	0.6895	0.3020	0.4654	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge CC -CV - R_DC, OCV	LG25oC charact P1a	3
28.06.2021 23:08:05	3707759285.297	0.366	0.723	21.20	16003	SK04A2C614	2	1.9538	3	1.9538	8.577	-0.250	0.0130	-0.250	0.250	0.0130	0.050	23.57	0.22	23.34	23.45	24.18	0.18	24.04	23.65	24.04	0.15	2.999995	4.198564	3.253887	4.188527	3.779014	3.702133	63.821787	63.885002	99.722	97.392939	99.820	96.873163	99.9010	236.509060	241.297753	98.0154	0.003	0.000	63821.792	-63.212	100.0988	0.2785	100.0959	3.2227	0.2194	0.3987	0.5296	0.9742	0.5504	0.7758	0.2334	0.4682	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge CC -CV - R_DC, OCV	LG25oC charact P1a	3
29.06.2021 07:42:42	3707790162.235	0.723	2.456	21.20	16003	SK04A2C614	3	2.9777	4	2.9777	41.597	-0.050	0.0020	-0.050	0.050	0.0020	0.014	23.19	0.13	23.55	23.19	23.55	0.14	23.39	23.18	23.47	0.11	2.999963	4.197990	3.039848	4.193634	3.752646	3.711900	65.530199	65.947059	102.391	100.000000	103.042	100.000000	99.3679	243.571107	247.255718	98.5098	0.000	0.000	65530.200	-416.859	100.6513	-2.3909	100.6321	0.6321	-0.1065	0.2295	0.4844	1.2752	0.6413	0.9607	0.2132	0.3078	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge - pulses, OCV	LG25oC charact P1a	3
01.07.2021 01:18:30	3707939910.987	2.457	3.208	21.20	16003	SK04A2C614	4	4.0035	5	4.0035	18.039	-0.200	0.7160	-0.050				23.15	0.17	23.29	23.15	23.49	0.18					2.999934		3.051277			3.743171	65.649773		102.578	100.182472			0.0000	241.332453		0.0000	0.000	65649.778	65649.778	0.000	100.0000	-2.5778	100.0000	0.4508	0.3252	0.4943	0.7904	1.1886	0.5246	0.7473	0.3291	0.5447	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge - HPPC, OCV	LG25oC charact P1a	3
01.07.2021 19:20:52	3708004852.893	3.208	3.497	21.20	16003	SK04A2C614	5	4.0035	6	4.0035	6.935				0.750	0.0120	0.751	23.13	0.47					23.00	23.52	24.44	0.47		3.751810		3.685362	3.576913			32.826666			51.292	49.777301	0.0000		119.091136	0.0000	65649.778	32823.109	65649.778	32823.107	48.7139	-2.5778	50.2281	0.4508	0.2409	0.3712					0.2409	0.3712	0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC, OCV	LG25oC charact P1a	3
09.07.2021 11:19:00	3708667140.002	10.874	3.567	23.20	16068	SK04A2C614	0	0.0000	7	4.0035	1.677	0.000	0.0000	0.000	0.000	0.0000	0.000	14.97	4.48	22.31	14.97	22.31	4.48	22.31	14.97	22.31	4.48	3.683228	3.683228	3.681997	3.681997	3.682723	3.682723	0.000000	0.000000	0.000	0.000000		0.000000	0.0000	0.000000	0.000000	0.0000	32823.109	32823.106	32823.109	32823.106	48.7139	48.7139	50.2281	50.2281									0.000000	0.000000	0	0.000000	0.000000	OCV	OCV generic long HP	8
09.07.2021 13:01:00	3708673260.005	10.944	3.668	23.20	16072	SK04A2C614	0	0.0000	8	4.0035	2.445				0.250	0.0550	0.050	4.94	0.31					5.63	4.97	5.63	0.27		4.198667		4.179306	3.979558			31.461676			49.159	47.707474	0.0000		124.895214	0.0000	32823.106	-0.001	32823.106	-0.001	100.0000	48.7139	100.0000	50.2281									0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC-CV, OCV	LG05oC 00100S3C4 P1a	3
09.07.2021 15:27:41	3708682061.083	11.046	3.810	23.20	16072	SK04A2C614	1	0.8315	9	4.8350	3.388	-0.750	0.0690	-0.751	0.750	0.0390	0.057	6.89	0.90	4.48	6.45	8.26	1.02	5.99	7.27	8.07	0.66	2.999996	4.197590	3.514125	4.178230	3.972722	3.644629	53.217440	53.217994	83.152	81.210558	83.153	80.698055	99.9990	193.299044	208.068581	92.9016	-0.001	-0.001	53217.444	-0.555	100.0009	16.8477	100.0008	19.3028	0.4563	1.0541	0.5453	1.3887	0.5251	1.3580	0.4563	1.0541	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge - pulses, OCV	LG05oC 00100S3C4 P1a	3
