cycle_index,discharge_capacity,charge_capacity,discharge_energy,charge_energy,dc_internal_resistance,temperature_maximum,temperature_average,temperature_minimum,date_time_iso,energy_efficiency,charge_throughput,energy_throughput,charge_duration,time_temperature_integrated,paused
0,1.9506046000000001,1.438199,6.1727977,4.7458897,0.029848083853721,34.53180694580078,30.334367752075195,24.881084442138672,2017-07-01T03:58:56+00:00,1.300661854825661,1.4381990432739251,4.745889663696289,33152.0,39072.18478190104,0
1,1.0649502,1.0652034,3.239139299999999,3.7140138,0.017780020833015,37.041748046875,33.17994689941406,30.827877044677734,2017-07-02T01:29:36+00:00,0.872139812727674,2.503402471542358,8.459903717041016,640.0,1978.779256184896,0
2,1.068850899999999,1.0684291,3.2487645,3.7171833999999997,0.017662422731518003,37.21294403076172,33.179656982421875,30.582340240478516,2017-07-02T02:29:20+00:00,0.873985528935699,3.571831464767456,12.17708683013916,640.0,2044.9146647135417,0
3,1.0694284,1.0701718,3.2529252,3.7237871,0.017717966809868,37.577945709228516,33.31025314331055,30.87726593017578,2017-07-02T03:31:12+00:00,0.8735529482875101,4.642003536224365,15.900874137878418,512.0,1988.9612711588543,0
4,1.0716448,1.0713124,3.2606525,3.725758999999999,0.017531344667077002,37.376800537109375,33.46735763549805,31.083251953125,2017-07-02T04:30:56+00:00,0.875164630884606,5.713315486907959,19.626632690429688,512.0,1995.8779947916669,0
5,1.072331,1.0721631,3.262603,3.7279985,0.017588719725608,37.284305572509766,33.4533576965332,30.819156646728516,2017-07-02T05:30:40+00:00,0.8751621010577121,6.785478591918945,23.354631423950195,640.0,1992.4788859049481,0
6,1.0726991,1.0725219,3.2641826,3.7291794,0.01755728945136,37.44126510620117,33.362770080566406,30.749160766601562,2017-07-02T06:30:24+00:00,0.8753085464324941,7.858000755310059,27.083810806274414,640.0,1989.2735229492187,0
7,1.0730579,1.0729371,3.2651157,3.7300756,0.017476260662078,37.35650634765625,33.37569046020508,30.900724411010742,2017-07-02T07:30:08+00:00,0.8753483977643771,8.930937767028809,30.813886642456055,640.0,1990.2990356445312,0
8,1.0718056,1.0728472,3.2586014,3.730032,0.017551722005009002,37.15544509887695,33.097957611083984,30.371234893798828,2017-07-02T08:29:52+00:00,0.87361218348797,10.003785133361816,34.54391860961914,640.0,1970.421032714844,0
9,1.073452399999999,1.0732913999999991,3.2647853,3.7319639000000002,0.017558023333549,37.270755767822266,33.091941833496094,30.525598526000977,2017-07-02T09:29:36+00:00,0.8748169562947801,11.077075958251953,38.275882720947266,640.0,2041.40625,0
10,1.0736306,1.073503399999999,3.2658224000000002,3.7322912,0.017508421093225,37.34038543701172,33.16182327270508,30.72545623779297,2017-07-02T10:31:28+00:00,0.875018112198747,12.150579452514648,42.008174896240234,512.0,1976.2842814127605,0
11,1.0736417,1.0734615,3.2640841,3.7323356,0.017603335902094,37.202823638916016,32.96413803100586,30.13313102722168,2017-07-02T11:31:12+00:00,0.8745419624108821,13.224040985107422,45.740509033203125,512.0,1966.5567586263023,0
12,1.0740285,1.0738405,3.2660217,3.7334940000000003,0.017553733661770002,37.25273513793945,33.07374954223633,30.28917121887207,2017-07-02T12:30:56+00:00,0.8747895938764061,14.297882080078125,49.474002838134766,512.0,1971.6520426432294,0
13,1.0730932,1.0742048,3.2635882,3.734312799999999,0.017478479072451,37.525917053222656,33.316802978515625,30.687984466552734,2017-07-02T13:30:40+00:00,0.8739461247059961,15.372086524963379,53.208316802978516,640.0,1985.9093668619794,0
14,1.0743284,1.0742021,3.2670281,3.7342727,0.017508439719676,37.52568435668945,33.265602111816406,30.540054321289062,2017-07-02T14:30:24+00:00,0.874876679466928,16.4462890625,56.942588806152344,640.0,1984.774987792969,0
15,1.0745227,1.074435899999999,3.2687664,3.7349842,0.017490226775407,37.783695220947266,33.388458251953125,30.687772750854492,2017-07-02T15:30:08+00:00,0.8751754291222971,17.52072525024414,60.677574157714844,640.0,1990.3831013997396,0
16,1.0746605,1.0745331,3.2684386,3.7353354,0.017424562945961,37.69093704223633,33.3958740234375,30.863510131835938,2017-07-02T16:29:52+00:00,0.8750053877357301,18.595256805419922,64.41291046142578,640.0,1992.0714762369792,0
17,1.074612299999999,1.0745261,3.268636899999999,3.7356678999999993,0.017526406794786002,37.706520080566406,33.38102340698242,30.68183708190918,2017-07-02T17:29:36+00:00,0.8749805891471241,19.669784545898438,68.14857482910156,640.0,1989.5270629882812,0
18,1.0736455,1.074769399999999,3.2661393,3.7353267999999993,0.017426464706659,37.96106719970703,33.61427688598633,31.007097244262695,2017-07-02T18:29:20+00:00,0.874391847053382,20.744552612304688,71.88390350341797,640.0,2005.2858357747396,0
19,1.0747035,1.074634399999999,3.267015,3.7349489,0.017337065190076002,37.496620178222656,33.45828628540039,30.855493545532227,2017-07-02T19:29:04+00:00,0.874714778560959,21.81918716430664,75.61885070800781,640.0,1994.3097371419271,0
20,1.0748718,1.074747699999999,3.268906399999999,3.736218499999999,0.017496867105364,37.78427505493164,33.47669219970703,30.869577407836914,2017-07-02T20:28:48+00:00,0.87492377654037,22.893936157226562,79.35507202148438,640.0,1994.6467732747396,0
21,1.074890699999999,1.0748436,3.2696607,3.7356100000000003,0.017411358654499002,37.53429412841797,33.592674255371094,31.13605499267578,2017-07-02T21:28:32+00:00,0.8752682159004821,23.968778610229492,83.09068298339844,640.0,2002.7464111328127,0
22,1.074878,1.0747572,3.2674239,3.7347062,0.017447497695684003,37.553184509277344,33.44245529174805,30.98802947998047,2017-07-02T22:28:16+00:00,0.8748811084523861,25.043535232543945,86.82538604736328,640.0,1993.4577270507814,0
23,1.073562299999999,1.0746818,3.2628195,3.7363074,0.017531178891658002,37.436763763427734,33.220829010009766,30.582347869873047,2017-07-02T23:28:00+00:00,0.8732738371580451,26.11821746826172,90.56169128417969,640.0,1980.8814046223956,0
24,1.0748837,1.0747784,3.2669556,3.7359709999999993,0.017506014555692,37.086212158203125,33.20708465576172,30.523643493652344,2017-07-03T00:27:44+00:00,0.8744595715544901,27.192996978759766,94.29766845703125,640.0,1978.7446411132812,0
25,1.0748132,1.0746889,3.2641201,3.735303199999999,0.017575969919562,37.031578063964844,33.04377746582031,30.115798950195312,2017-07-03T01:27:28+00:00,0.8738567996300811,28.267684936523438,98.03296661376953,640.0,1968.4324381510417,0
