cycle_index,discharge_capacity,charge_capacity,voltage,temperature,current,internal_resistance,step_type,cycle_life
99,0.9552091426804281,1.0663873,2.799999952316284,34.7611198425293,-4.39992094039917,0.017700428143143,discharge,597
99,0.954943841827748,1.0663873,2.8007006645202632,34.75905990600586,-4.399961471557617,0.017700428143143,discharge,597
99,0.9546785409750681,1.0663873,2.801401376724243,34.75700378417969,-4.400002479553223,0.017700428143143,discharge,597
99,0.954413240122388,1.0663873,2.802102088928222,34.75494384765625,-4.40004301071167,0.017700428143143,discharge,597
99,0.9541479392697081,1.0663873,2.802802801132202,34.75288772583008,-4.400083541870117,0.017700428143143,discharge,597
99,0.953882638417028,1.066387299999999,2.803503513336181,34.750831604003906,-4.4001240730285645,0.017700428143143,discharge,597
99,0.9536173375643481,1.0663873,2.804204225540161,34.74877166748047,-4.40016508102417,0.017700428143143,discharge,597
99,0.9533520367116681,1.0663873,2.80490493774414,34.7467155456543,-4.400205612182617,0.017700428143143,discharge,597
99,0.9530867358589881,1.0663873,2.80560564994812,34.74465560913086,-4.4002461433410645,0.017700428143143,discharge,597
99,0.9528137320135621,1.0663873,2.806306362152099,34.74604034423828,-4.400264263153076,0.017700428143143,discharge,597
99,0.9525337093322871,1.066387299999999,2.807007074356079,34.75055694580078,-4.400260925292969,0.017700428143143,discharge,597
99,0.9522536866510121,1.066387299999999,2.807707786560058,34.75507736206055,-4.400258064270019,0.017700428143143,discharge,597
99,0.951973663969736,1.0663873,2.808408498764038,34.75959396362305,-4.400254726409912,0.017700428143143,discharge,597
99,0.9516936412884611,1.0663873,2.809109210968017,34.76411437988281,-4.400251865386963,0.017700428143143,discharge,597
99,0.9514136186071861,1.0663873,2.809809923171997,34.76863098144531,-4.4002485275268555,0.017700428143143,discharge,597
99,0.9511335959259111,1.0663873,2.810510396957397,34.77315139770508,-4.400245666503906,0.017700428143143,discharge,597
99,0.950853573244635,1.066387299999999,2.811211109161377,34.77766799926758,-4.400242328643799,0.017700428143143,discharge,597
99,0.9505735505633601,1.0663873,2.811911821365356,34.782188415527344,-4.40023946762085,0.017700428143143,discharge,597
99,0.9502935278820851,1.066387299999999,2.812612533569336,34.786705017089844,-4.400236129760742,0.017700428143143,discharge,597
99,0.9500135052008091,1.0663873,2.813313245773315,34.79122543334961,-4.400233268737793,0.017700428143143,discharge,597
99,0.949733482519534,1.0663873,2.814013957977295,34.79574203491211,-4.400229930877685,0.017700428143143,discharge,597
99,0.9494534598382591,1.0663873,2.814714670181274,34.800262451171875,-4.400227069854736,0.017700428143143,discharge,597
99,0.9491734371569831,1.0663873,2.815415382385254,34.804779052734375,-4.400223731994629,0.017700428143143,discharge,597
99,0.948891673177319,1.0663873,2.816116094589233,34.80907440185547,-4.4002180099487305,0.017700428143143,discharge,597
99,0.9486022274000291,1.0663873,2.816816806793213,34.81237030029297,-4.400198459625244,0.017700428143143,discharge,597
99,0.948312781622738,1.0663873,2.817517518997192,34.81566619873047,-4.400179386138916,0.017700428143143,discharge,597
99,0.9480233358454481,1.0663873,2.818218231201172,34.818965911865234,-4.400160312652588,0.017700428143143,discharge,597
99,0.9477338900681571,1.0663873,2.818918943405151,34.822261810302734,-4.40014123916626,0.017700428143143,discharge,597
99,0.947444444290867,1.0663873,2.819619655609131,34.8255615234375,-4.400122165679932,0.017700428143143,discharge,597
99,0.9471549985135761,1.0663873,2.82032036781311,34.828857421875,-4.400102615356445,0.017700428143143,discharge,597
99,0.946865552736286,1.0663873,2.82102108001709,34.8321533203125,-4.400083541870117,0.017700428143143,discharge,597
99,0.9465761069589961,1.0663873,2.8217217922210693,34.835453033447266,-4.400064468383789,0.017700428143143,discharge,597
99,0.9462866611817051,1.0663873,2.822422504425049,34.838748931884766,-4.400045394897461,0.017700428143143,discharge,597
