Date and Time	Time stamp	Total time (days)	Total test time (days)	Position	Tasks	CellUnit	Cycle - actual	Cycle - normalized	Cycle - total	Cycle - total - normalized	Cycle length (h)	Current_dch (C)	Current_dch std dev (C)	Current_dch_end (C)	Current_cha (C)	Current_cha std dev (C)	Current_cha_end (C)	Temp avg (°C)	Temp std dev (°C)	Temp dch start (°C)	Temp dch avg (°C)	Temp dch max (°C)	Temp dch std dev (°C)	Temp cha start (°C)	Temp cha avg (°C)	Temp cha max (°C)	Temp cha std dev (°C)	Voltage EoD (V)	Voltage EoC (V)	Voltage EoD ocv (V)	Voltage EoC ocv (V)	Voltage charge avg (V)	Voltage discharge avg (V)	Ah_dch (Ah)	Ah_cha (Ah)	Ah_dch (nominal) (%)	Ah_dch (C20 first) (%)	Ah_cha (nominal) (%)	Ah_cha (C20 first) (%)	CE (%)	Wh_dch (Wh)	Wh_cha (Wh)	Efficiency (%)	Ah_balance start (mAh)	Ah_balance end (mAh)	Ah_balance max (mAh)	Ah_balance min (mAh)	SoC - max (nom) (%)	SoC - min (nom) (%)	SoC - max (C20 last) (%)	SoC - min (C20 last) (%)	R_DC 0ms EoC (mOhm)	R_DC 50ms EoC (mOhm)	R_DC 0ms EoD (mOhm)	R_DC 50ms EoD (mOhm)	R_DC 0ms SoC50 dch (mOhm)	R_DC 50ms Soc50 dch (mOhm)	R_DC 0ms SoC50 cha (mOhm)	R_DC 50ms Soc50 cha (mOhm)	Shunt voltage dch (µV)	Shunt voltage cha (µV)	CE Shunt 	Ah_cha slippage (Ah)	Ah_dch slippage (Ah)	Cycle type	TestRegime	TestRegime version
01.07.2020 12:53:00	3676445580.002	0.000	0.139	24.08	13318	SK05A14198	0	0.0000	0	0.0000	3.333	0.000	0.0000	0.000	0.000	0.0000	0.000	23.94	0.50	23.16	23.94	25.48	0.50	23.16	23.94	25.48	0.50	3.601624	3.601624	3.601424	3.601424	3.601396	3.601396	0.000000	0.000000	0.000	0.000000		0.000000	0.0000	0.000000	0.000000	0.0000	23448.636	23448.627	23448.636	23448.627	63.3615	63.3615	64.5458	64.5458									0.000000	0.000000	0	0.000000	0.000000	OCV	OCV generic long HP	8
01.07.2020 16:15:00	3676457700.005	0.140	0.210	24.08	13322	SK05A14198	0	0.0000	1	0.0000	1.700				0.750	0.2090	0.050	27.67	1.51					24.56	27.94	29.58	1.57		4.199632		4.187672	3.937288			48.659573			76.031	73.572927	0.0000		189.461612	0.0000	23448.627	-0.001	23448.627	-25210.951	139.3921	63.3615	138.1188	64.5458									0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC-CV, OCV	LG25oC charact P1a	1
01.07.2020 17:57:01	3676463821.012	0.211	0.492	24.08	13322	SK05A14198	1	0.9833	2	0.9833	6.787	-0.750	0.0590	-0.750	0.750	0.0620	0.050	27.22	1.98	26.00	28.48	31.29	1.30	25.90	28.48	30.09	1.32	2.999998	4.199744	3.376561	4.182701	3.800713	3.678821	62.928772	63.023801	98.326	95.527332	98.475	95.291538	99.8492	231.970358	240.712463	96.3682	-0.001	-0.007	62928.776	-95.032	100.1485	1.6738	100.1437	4.8521	0.3836	0.4515	0.4236	0.7890	0.4132	0.5594	0.4032	0.5239	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge CC -CV - R_DC, OCV	LG25oC charact P1a	1
02.07.2020 00:44:12	3676488252.634	0.494	0.858	24.08	13322	SK05A14198	2	1.9909	3	1.9909	8.770	-0.250	0.0130	-0.250	0.240	0.0220	0.050	25.45	0.46	24.74	25.37	27.00	0.48	25.90	25.47	26.20	0.37	2.999998	4.200101	3.218429	4.190236	3.770587	3.696234	64.490065	64.562011	100.766	97.897410	100.878	97.617300	99.8886	239.077946	243.777739	98.0721	-0.007	-0.001	64490.060	-71.954	100.1124	-0.7657	100.1088	2.4915	0.3911	0.5374	0.4491	0.8374	0.4275	0.6295	0.4174	0.5957	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge CC -CV - R_DC, OCV	LG25oC charact P1a	1
02.07.2020 09:30:22	3676519822.845	0.859	2.598	24.08	13322	SK05A14198	3	3.0202	4	3.0202	41.764	-0.050	0.0020	-0.050	0.050	0.0020	0.008	24.74	0.14	25.06	24.75	25.26	0.16	25.06	24.73	25.06	0.12	2.999999	4.198216	3.038859	4.193092	3.751894	3.715437	65.875149	66.137878	102.930	100.000000	103.340	100.000000	99.6028	244.946609	247.973048	98.7795	-0.001	-0.001	65875.148	-262.731	100.4105	-2.9299	100.3972	0.3972	0.3565	0.5740	0.4262	0.8581	0.3718	0.6345	0.3721	0.6268	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge - pulses, OCV	LG25oC charact P1a	1
04.07.2020 03:16:14	3676670174.578	2.599	3.337	24.08	13322	SK05A14198	4	4.0486	5	4.0486	17.746	-0.200	0.7160	-0.050				25.03	0.24	24.76	25.03	26.26	0.24					2.999997		3.050415			3.741996	65.817946		102.841	99.913165			0.0000	242.158849		0.0000	-0.001	65817.949	65817.950	-0.001	100.0000	-2.8405	100.0000	0.4837	0.4148	0.5622	0.4381	0.8527	0.4252	0.6276	0.4192	0.6095	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge - HPPC, OCV	LG25oC charact P1a	1
04.07.2020 21:01:01	3676734061.309	3.339	3.627	24.08	13322	SK05A14198	5	4.0486	6	4.0486	6.937				0.750	0.0280	0.751	25.43	1.32					24.96	26.88	29.36	1.43		3.749809		3.685062	3.487379			32.910663			51.423	49.760688	0.0000		119.337886	0.0000	65817.949	32907.264	65817.949	32907.264	48.5824	-2.8405	50.2445	0.4837	0.3805	0.4697					0.3805	0.4697	0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC, OCV	LG25oC charact P1a	1
07.07.2020 11:24:00	3676958640.001	5.938	3.976	24.08	13373	SK05A14198	0	0.0000	7	4.0486	8.398				0.250	0.0390	0.050	25.27	0.51					24.62	25.91	26.26	0.38		4.200352		4.178833	3.950143			32.760150			51.188	49.533113	0.0000		129.183977	0.0000	32907.264	-0.016	32907.264	-0.016	100.0000	48.5824	100.0000	50.2445									0.000000	0.000000	0	0.000000	0.000000	OCV, Charge CC-CV, OCV	LG 25oC C10 Entropy	1
07.07.2020 19:47:52	3676988872.318	6.288	5.329	24.08	13373	SK05A14198	1	1.0198	8	5.0684	32.455	-0.100	0.0010	-0.100	0.100	0.0010	0.050	25.03	0.47	24.78	25.08	26.77	0.50	24.71	25.04	25.88	0.51	2.999994	4.198842	3.146481	4.182556	3.754282	3.711619	65.267763	65.461452	101.981	99.077974	102.284	98.977249	99.7041	242.239037	245.832317	98.5383	-0.016	-0.016	65267.748	-193.720	100.3027	-1.9809	100.2959	0.2959	0.2622	0.5787	0.4196	0.8080	0.4410	0.6608	0.3462	0.6026	0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC - R_DC, OCV, Charge CC -CV - R_DC, OCV	LG 25oC C10 Entropy	1
09.07.2020 04:15:08	3677105708.568	7.640	5.674	24.08	13373	SK05A14198	2	1.5297	9	5.5783	8.291	-0.250	0.0060	-0.250				25.16	0.52	24.82	25.78	26.38	0.48					3.653296		3.674859			3.881676	32.634223		50.991	49.539505			0.0000	126.655251		0.0000	-0.016	32634.194	32634.209	-0.016	100.0000	49.0090	100.0000	50.1474									0.000000	0.000000	0	0.000000	0.000000	OCV, Discharge CC, OCV	LG 25oC C10 Entropy	1
