cycle_index,discharge_capacity,charge_capacity,voltage,current,internal_resistance,temperature,step_type,cycle_life
9,1.003620778951774,1.073916,2.799999952316284,-4.400064945220947,0.017405664548277,35.61595916748047,discharge,506
9,1.003416243229414,1.073916,2.8007006645202632,-4.4000654220581055,0.017405664548277,35.61516189575195,discharge,506
9,1.003211707507054,1.073916,2.801401376724243,-4.4000654220581055,0.017405664548277,35.61436462402344,discharge,506
9,1.003007171784694,1.073916,2.802102088928222,-4.400065898895264,0.017405664548277,35.61357116699219,discharge,506
9,1.002802636062334,1.073916,2.802802801132202,-4.400065898895264,0.017405664548277,35.61277389526367,discharge,506
9,1.002598100339974,1.073916,2.803503513336181,-4.400065898895264,0.017405664548277,35.611976623535156,discharge,506
9,1.002393564617615,1.073916,2.804204225540161,-4.400066375732422,0.017405664548277,35.61117935180664,discharge,506
9,1.002189028895255,1.073916,2.80490493774414,-4.400066375732422,0.017405664548277,35.61038589477539,discharge,506
9,1.001984493172895,1.073916,2.80560564994812,-4.400066375732422,0.017405664548277,35.609588623046875,discharge,506
9,1.001779957450535,1.073916,2.806306362152099,-4.40006685256958,0.017405664548277,35.60879135131836,discharge,506
9,1.001575421728175,1.073916,2.807007074356079,-4.40006685256958,0.017405664548277,35.607994079589844,discharge,506
9,1.001356240464754,1.073916,2.807707786560058,-4.4000654220581055,0.017405664548277,35.601165771484375,discharge,506
9,1.001135889985236,1.073916,2.808408498764038,-4.400064468383789,0.017405664548277,35.59385299682617,discharge,506
9,1.000915539505718,1.073916,2.809109210968017,-4.4000630378723145,0.017405664548277,35.586544036865234,discharge,506
9,1.0006951890262,1.073916,2.809809923171997,-4.40006160736084,0.017405664548277,35.57923126220703,discharge,506
9,1.000474838546682,1.073916,2.810510396957397,-4.400060653686523,0.017405664548277,35.57191848754883,discharge,506
9,1.000254488067164,1.073916,2.811211109161377,-4.400059223175049,0.017405664548277,35.564605712890625,discharge,506
9,1.000034137587646,1.073916,2.811911821365356,-4.400057792663574,0.017405664548277,35.55729675292969,discharge,506
9,0.9998137871081281,1.073916,2.812612533569336,-4.400056838989258,0.017405664548277,35.549983978271484,discharge,506
9,0.9995934366286101,1.073916,2.813313245773315,-4.400055408477783,0.017405664548277,35.54267120361328,discharge,506
9,0.999373086149092,1.073916,2.814013957977295,-4.400053977966309,0.017405664548277,35.535362243652344,discharge,506
9,0.9991527356695741,1.073916,2.814714670181274,-4.400052547454834,0.017405664548277,35.52804946899414,discharge,506
9,0.9989323851900571,1.073916,2.815415382385254,-4.400051593780518,0.017405664548277,35.52073669433594,discharge,506
9,0.998712034710538,1.073916,2.816116094589233,-4.400050163269043,0.017405664548277,35.513423919677734,discharge,506
9,0.9984916842310211,1.073916,2.816816806793213,-4.400048732757568,0.017405664548277,35.5061149597168,discharge,506
9,0.9982601560909021,1.073916,2.817517518997192,-4.400058746337891,0.017405664548277,35.55819320678711,discharge,506
9,0.9980191057161901,1.073916,2.818218231201172,-4.400077819824219,0.017405664548277,35.5541877746582,discharge,506
9,0.9977780553414791,1.073916,2.818918943405151,-4.400096893310547,0.017405664548277,35.5501823425293,discharge,506
9,0.9975370049667681,1.073916,2.819619655609131,-4.400115966796875,0.017405664548277,35.546173095703125,discharge,506
9,0.9972959545920561,1.073916,2.82032036781311,-4.400135040283203,0.017405664548277,35.54216766357422,discharge,506
9,0.9970549042173451,1.073916,2.82102108001709,-4.400154113769531,0.017405664548277,35.53816223144531,discharge,506
9,0.9968138538426341,1.073916,2.8217217922210693,-4.400173187255859,0.017405664548277,35.534156799316406,discharge,506
9,0.9965728034679221,1.073916,2.822422504425049,-4.4001922607421875,0.017405664548277,35.5301513671875,discharge,506
