discharge_capacity,cycle_life
-0.015058076047037794,1315
-0.015084067325857875,1315
-0.015110058604678955,1315
-0.015136049883497815,1315
-0.015157125388498893,1315
-0.015177413081800983,1315
-0.01519770077510485,1315
-0.015217988468407051,1315
-0.015238276161709918,1315
-0.015258563855013008,1315
-0.015278851548315986,1315
-0.015299139241617854,1315
-0.015324979663375982,1315
-0.015353050928841872,1315
-0.01538112219430987,1315
-0.015409193459776871,1315
-0.015437264725242983,1315
-0.015465335990710871,1315
-0.01548673769045783,1315
-0.01550121878512889,1315
-0.015515699879800837,1315
-0.015530180974472785,1315
-0.015544662069143844,1315
-0.015559143163815792,1315
-0.01557362425848785,1315
-0.015588105353158799,1315
-0.015608138346361766,1315
-0.015635757506524794,1315
-0.015663376666687823,1315
-0.015690995826851073,1315
-0.01571861498701399,1315
-0.01574623414717702,1315
-0.01577232873758805,1315
-0.01578748978153477,1315
-0.015802650825481934,1315
-0.015817811869428988,1315
-0.015832972913376042,1315
-0.015848133957322985,1315
-0.015863295001269817,1315
-0.01587845604521687,1315
-0.01589463907774702,1315
-0.015921384856994014,1315
-0.01594813063624101,1315
-0.015974876415489003,1315
-0.016001622194735998,1315
-0.016028367973983992,1315
-0.016055113753230987,1315
-0.01607010782623497,1315
-0.016082721586687998,1315
-0.016095335347141027,1315
-0.016107949107594943,1315
-0.016120562868047972,1315
-0.016133176628502,1315
-0.016145790388955028,1315
-0.016158404149407946,1315
-0.016184994214351045,1315
-0.01621504583359401,1315
-0.016245097452836976,1315
-0.016275149072079942,1315
-0.01630520069132302,1315
-0.016335252310565984,1315
-0.016357764292712074,1315
-0.016373549997364956,1315
-0.01638933570201695,1315
-0.016405121406669942,1315
-0.016420907111323046,1315
-0.01643669281597604,1315
-0.016452478520628033,1315
-0.016468264225280915,1315
-0.01649135476921504,1315
-0.016521559837304967,1315
-0.016551764905395006,1315
-0.016581969973484934,1315
-0.016612175041576083,1315
-0.01664238010966501,1315
-0.016669880237475954,1315
-0.01668361204471902,1315
-0.016697343851963975,1315
-0.016711075659207042,1315
-0.016724807466451996,1315
-0.016738539273694952,1315
-0.01675227108093902,1315
-0.016766002888182974,1315
-0.01678300034526503,1315
-0.016813104828567016,1315
-0.016843209311867002,1315
-0.01687331379516699,1315
-0.016903418278468973,1315
-0.01693352276176896,1315
-0.016963627245069945,1315
-0.016969806673086008,1315
-0.01697277165571598,1315
-0.01697573663834706,1315
-0.016978701620977033,1315
-0.016981666603607004,1315
-0.016984631586236976,1315
-0.016987596568867946,1315
-0.01699056155149692,1315
-0.017009199414041,1315
-0.017031305215330028,1315
-0.017053411016620057,1315
-0.017075516817909975,1315
-0.017097622619199004,1315
-0.017119728420489033,1315
-0.01712949351706794,1315
-0.017130216747481053,1315
-0.017130939977895943,1315
-0.017131663208310943,1315
-0.017132386438726055,1315
-0.017133109669138946,1315
-0.017133832899554058,1315
-0.01713455612996906,1315
-0.017147383320384013,1315
-0.01717330349816404,1315
-0.017199223675943953,1315
-0.01722514385372398,1315
-0.017251064031504004,1315
-0.01727698420928392,1315
-0.017296694987435024,1315
-0.01729660097926,1315
-0.01729650697108409,1315
-0.01729641296290796,1315
-0.017296318954731937,1315
-0.017296224946558025,1315
-0.017296130938382004,1315
-0.017296036930206093,1315
-0.017299471692027946,1315
-0.017327172668661017,1315
-0.017354873645294977,1315
-0.01738257462192805,1315
-0.01741027559856201,1315
-0.01743797657519497,1315
-0.01746567755182793,1315
-0.01745863236670997,1315
-0.017450093046074033,1315
-0.017441553725437875,1315
-0.01743301440480205,1315
-0.017424475084166002,1315
-0.017415935763529067,1315
-0.01740739644289402,1315
-0.017398857122256972,1315
-0.017414249591996,1315
-0.01743504808121399,1315
-0.017455846570431977,1315
-0.017476645059650964,1315
-0.017497443548869063,1315
-0.01751824203808805,1315
-0.017511126598433013,1315
-0.017491213765870928,1315
-0.017471300933310063,1315
-0.017451388100747978,1315
-0.017431475268186003,1315
-0.017411562435623917,1315
-0.017391649603062054,1315
-0.01737173677050008,1315
-0.017369823791848038,1315
-0.01738558906971499,1315
-0.017401354347581943,1315
-0.017417119625448008,1315
-0.01743288490331496,1315
-0.017448650181181025,1315
-0.017447093837830052,1315
-0.017417905063194072,1315
-0.01738871628855798,1315
-0.017359527513923,1315
-0.01733033873928691,1315
-0.01730114996465093,1315
-0.01727196119001495,1315
-0.01724277241537997,1315
-0.01722412886871305,1315
-0.017241894267051028,1315
-0.017259659665387006,1315
-0.017277425063723983,1315
-0.017295190462061072,1315
-0.01731295586039705,1315
-0.017312007487517045,1315
-0.01728576521859093,1315
-0.01725952294966504,1315
-0.01723328068073804,1315
-0.017207038411811926,1315
-0.017180796142886035,1315
-0.017154553873959033,1315
-0.01712831160503403,1315
-0.017135721122435,1315
-0.017148954441489006,1315
-0.017162187760543013,1315
-0.01717542107959602,1315
-0.017188654398649916,1315
-0.017161676304409013,1315
-0.01712224804019402,1315
-0.01708281977597903,1315
-0.01704339151176404,1315
-0.017003963247548937,1315
-0.016964534983334945,1315
-0.016925106719119065,1315
-0.01691091860417504,1315
-0.016923263103947983,1315
-0.016935607603722036,1315
-0.01694795210349398,1315
-0.016944957827839002,1315
-0.01691188626418194,1315
-0.01687881470052599,1315
-0.01684574313687004,1315
-0.01681267157321298,1315
-0.016779600009556916,1315
-0.016746528445899966,1315
-0.016725415163543977,1315
-0.016731512601133036,1315
-0.016737610038721984,1315
-0.01674370747631093,1315
-0.016711711909314975,1315
-0.016670712036782054,1315
-0.016629712164248023,1315
-0.01658871229171499,1315
-0.01654771241918307,1315
-0.016506712546648927,1315
-0.016465712674116006,1315
-0.016466667513173938,1315
-0.016472842699649992,1315
-0.016475760498178005,1315
-0.01643197939129004,1315
-0.016388198284401967,1315
-0.016344417177515003,1315
-0.01630063607062704,1315
-0.016256854963739076,1315
-0.016213073856852,1315
-0.01618211542185899,1315
-0.016187900824842005,1315
-0.016192158871595974,1315
-0.016154022037354943,1315
-0.01611588520311491,1315
-0.01607774836887499,1315
-0.01603961153463307,1315
-0.016001474700393037,1315
-0.015963337866153005,1315
-0.01594168086218395,1315
-0.015956025811568963,1315
-0.015941884271377105,1315
-0.015906060137539924,1315
-0.015870236003702964,1315
-0.015834411869867004,1315
-0.015798587736030933,1315
-0.015762763602192975,1315
-0.015726939468357015,1315
-0.015737374229831014,1315
-0.01571686975631892,1315
-0.015676803405024975,1315
-0.01563673705373103,1315
-0.015596670702435977,1315
-0.015556604351142034,1315
-0.015516537999846869,1315
-0.015485066862347074,1315
-0.015482359345926011,1315
-0.015442860087876098,1315
-0.015403360829825963,1315
-0.015363861571775939,1315
-0.015324362313725026,1315
-0.01528486305567589,1315
-0.015245363797625977,1315
-0.01523451906835005,1315
-0.015186858685023896,1315
-0.015139198301697965,1315
-0.015091537918371034,1315
-0.015043877535044992,1315
-0.01499621715171906,1315
-0.014948556768394017,1315
-0.014925197881506036,1315
-0.014891079002690932,1315
-0.014856960123875051,1315
-0.014822841245058949,1315
-0.014788722366243068,1315
-0.014754603487426965,1315
-0.014718763019673009,1315
-0.014675187193442962,1315
-0.014631611367213027,1315
-0.01458803554098198,1315
-0.014544459714752045,1315
-0.014500883888520999,1315
-0.014444699037032938,1315
-0.014396653867898013,1315
-0.014348608698764975,1315
-0.01430056352963105,1315
-0.014252518360497013,1315
-0.014204473191363087,1315
-0.014124679637167015,1315
-0.014066443939979911,1315
-0.01400820824279192,1315
-0.013949972545602929,1315
-0.013891736848414937,1315
-0.013817631977561029,1315
-0.013751551437488962,1315
-0.013700587020043065,1315
-0.013649622602596945,1315
-0.013598658185151047,1315
-0.013532029097502063,1315
-0.01343575436122102,1315
-0.013397510514896016,1315
-0.013359266668570013,1315
-0.01332102282224601,1315
-0.013265328950610944,1315
-0.013178224855531995,1315
-0.013139871978586015,1315
-0.013101519101640036,1315
-0.013063166224693945,1315
-0.01299912414680604,1315
-0.01292717684193001,1315
-0.01288331922788799,1315
-0.01283946161384597,1315
-0.012794550814341,1315
-0.012683897947332046,1315
-0.01259743154581805,1315
-0.01253131002724106,1315
-0.01246518850866396,1315
-0.012369570071598002,1315
-0.012259953447765981,1315
-0.01222017359767702,1315
-0.012181453962024968,1315
-0.01213718815898801,1315
-0.01208609108185199,1315
-0.012055507266813925,1315
-0.012035960958804992,1315
-0.012002069186698994,1315
-0.011927100314659045,1315
-0.011868188289327009,1315
-0.011832329046997048,1315
-0.01177747121858208,1315
-0.011655514421109014,1315
-0.011552983731336064,1315
-0.011502893440736073,1315
-0.01144997170496298,1315
-0.011392948732332986,1315
-0.01136188956777795,1315
-0.011385169672178952,1315
-0.011359064982080946,1315
-0.011300994928626018,1315
-0.011254687823092024,1315
-0.011216554333647988,1315
-0.011186767222509997,1315
-0.011157034453726067,1315
-0.011133319881782011,1315
-0.01106149713998994,1315
-0.01090553338661493,1315
-0.010765795065322048,1315
-0.010690016000489022,1315
-0.01065139413833005,1315
-0.010613057001920945,1315
-0.010624407461395036,1315
-0.010596542597569036,1315
-0.010519123249134954,1315
-0.010442663307228983,1315
-0.01037767409829693,1315
-0.01033193224300999,1315
-0.010286190387723937,1315
-0.01032220531522099,1315
-0.010275585020867006,1315
-0.010228964726512912,1315
-0.010210076869324958,1315
-0.01011671565661898,1315
-0.010015156817968052,1315
-0.009927972418038,1315
-0.009838389244626988,1315
-0.00974775220661206,1315
-0.009694520406282048,1315
-0.009685736330940053,1315
-0.009677178283455046,1315
-0.00969276438764699,1315
-0.009599879164496006,1315
-0.009503945327921981,1315
-0.009465462272232994,1315
-0.009493480213580097,1315
-0.009521498154926977,1315
-0.009493055293885,1315
-0.009330055511371005,1315
-0.009166940914316024,1315
-0.009064327734018995,1315
-0.008986589084676977,1315
-0.008934299965464021,1315
-0.008963377053369914,1315
-0.008992454141277029,1315
-0.008997127136059047,1315
-0.008975771414570954,1315
-0.008954415693081974,1315
-0.008842589108875032,1315
-0.008688379146614023,1315
-0.008614647739136005,1315
-0.008643027500844003,1315
-0.008671407262551,1315
-0.008512946755374062,1315
-0.008333606171201047,1315
-0.008245570816185044,1315
-0.008308780639918023,1315
-0.008358375729448975,1315
-0.008256036453009985,1315
-0.008153697176571995,1315
-0.00799635575872304,1315
-0.007865318916972952,1315
-0.007869288045014078,1315
-0.007918744834435998,1315
-0.007858097083313975,1315
-0.0075836497069320385,1315
-0.007328781417166086,1315
-0.0072183041418829585,1315
-0.007140547547121012,1315
-0.007098117501725065,1315
-0.007062836098101988,1315
-0.006969241481945998,1315
-0.006985914016897077,1315
-0.007099430815299956,1315
-0.007078350748287998,1315
-0.006958537975669921,1315
-0.006982335381661042,1315
-0.006963708202652019,1315
-0.006760217063753959,1315
-0.0064897703364010795,1315
-0.006399474622535983,1315
-0.006228070964522048,1315
-0.0060900425502579125,1315
-0.00612935400010195,1315
-0.006061686319448922,1315
-0.00605705000482204,1315
-0.006187419604853028,1315
-0.006045544691243077,1315
-0.00562128690839403,1315
-0.005345319605266963,1315
-0.005300044973687967,1315
-0.005243199627194994,1315
-0.005075343437283997,1315
-0.005062531935369985,1315
-0.005136823494344078,1315
-0.004943381010650061,1315
-0.0046698689818370775,1315
-0.004553863191957053,1315
-0.004498318229467002,1315
-0.004389807355036912,1315
-0.0045568174401859896,1315
-0.0046528016746140155,1315
-0.004409263954459952,1315
-0.0041259854610470326,1315
-0.003951662096414954,1315
-0.0038404431872960387,1315
-0.0038019899398500367,1315
-0.0037308819888730582,1315
-0.003716462267057019,1315
-0.0037013895549879994,1315
-0.003467093288325951,1315
-0.003277052215099996,1315
-0.0031204904176620474,1315
-0.0030152470299780187,1315
-0.0029715766031860325,1315
-0.00279505042696504,1315
-0.002552795159305954,1315
-0.0024454410933318904,1315
-0.0023700183906980588,1315
-0.0023826833286939575,1315
-0.002394009433872024,1315
-0.0023784822506059955,1315
